Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2019-11-12,100,0,0,0,0,0,0
2019-11-05,100,0,0,0,0,0,0
2019-10-29,100,0,0,0,0,0,0
2019-10-22,100,0,0,0,0,0,0
2019-10-15,100,0,0,0,0,0,0
2019-10-08,100,0,0,0,0,0,0
2019-10-01,100,0,0,0,0,0,0
2019-09-24,100,0,0,0,0,0,0
2019-09-17,100,0,0,0,0,0,0
2019-09-10,94.01,5.99,0,0,0,0,6
2019-09-03,93.42,6.58,0.62,0,0,0,7
2019-08-27,81.43,18.57,6.58,0.62,0,0,26
2019-08-20,72.89,27.11,6.58,0.62,0,0,34
2019-08-13,71.07,28.93,6.58,0.62,0,0,36
2019-08-06,72.1,27.9,2.89,0,0,0,31
2019-07-30,76.06,23.94,1.81,0,0,0,26
2019-07-23,77.7,22.3,1.11,0,0,0,23
2019-07-16,73.82,26.18,4.35,0,0,0,31
2019-07-09,60.46,39.54,10.97,2.38,0,0,53
2019-07-02,60.47,39.53,10.68,2.38,0,0,53
2019-06-25,58.32,41.68,14.55,3.77,0,0,60
2019-06-18,58.32,41.68,21.66,6.78,0,0,70
2019-06-11,62.35,37.65,17.37,0,0,0,55
2019-06-04,71.14,28.86,11.8,0,0,0,41
2019-05-28,75.95,24.05,0,0,0,0,24
2019-05-21,76.92,23.08,0,0,0,0,23
2019-05-14,91.38,8.62,0,0,0,0,9
2019-05-07,91.38,8.62,0,0,0,0,9
2019-04-30,81.96,18.04,0,0,0,0,18
2019-04-23,81.65,18.35,0,0,0,0,18
2019-04-16,100,0,0,0,0,0,0
2019-04-09,100,0,0,0,0,0,0
2019-04-02,100,0,0,0,0,0,0
2019-03-26,100,0,0,0,0,0,0
2019-03-19,100,0,0,0,0,0,0
2019-03-12,100,0,0,0,0,0,0
2019-03-05,100,0,0,0,0,0,0
2019-02-26,100,0,0,0,0,0,0
2019-02-19,82.63,17.37,0,0,0,0,17
2019-02-12,82.63,17.37,0,0,0,0,17
2019-02-05,79.76,20.24,0,0,0,0,20
2019-01-29,66.21,33.79,4.3,0,0,0,38
2019-01-22,66.21,33.79,4.3,0,0,0,38
2019-01-15,66.21,33.79,4.3,0,0,0,38
2019-01-08,66.21,33.79,4.3,0,0,0,38
2019-01-01,66.21,33.79,15.48,0,0,0,49
2018-12-25,64.2,35.8,16.72,0,0,0,53
2018-12-18,64.2,35.8,16.72,0,0,0,53
2018-12-11,64.2,35.8,16.72,0,0,0,53
2018-12-04,64.2,35.8,16.72,0,0,0,53
2018-11-27,53.3,46.7,26.55,0,0,0,73
2018-11-20,53.29,46.71,26.55,0,0,0,73
2018-11-13,39.77,60.23,26.55,0,0,0,87
2018-11-06,39.77,60.23,26.55,7.07,0,0,94
2018-10-30,39.77,60.23,26.55,7.07,0,0,94
2018-10-23,36.45,63.55,38.5,10.32,0.4,0,113
2018-10-16,36.45,63.55,38.5,10.32,0.4,0,113
2018-10-09,33.22,66.78,39.49,13.2,1.12,0,121
2018-10-02,24.2,75.8,44.3,14.89,1.29,0,136
2018-09-25,16.36,83.64,44.37,16.78,1.29,0,146
2018-09-18,16.36,83.64,44.18,16.52,0.6,0,145
2018-09-11,15.05,84.95,42.63,12.73,0.6,0,141
2018-09-04,17.26,82.74,41.69,3.47,0,0,128
2018-08-28,19.77,80.23,26.22,2.64,0,0,109
2018-08-21,22.49,77.51,26.22,2.64,0,0,106
2018-08-14,44.55,55.45,8.38,1.61,0,0,65
2018-08-07,80.12,19.88,2.01,0,0,0,22
2018-07-31,86.09,13.91,1.52,0,0,0,15
2018-07-24,84.12,15.88,0.95,0,0,0,17
2018-07-17,84.12,15.88,1.1,0,0,0,17
2018-07-10,80.15,19.85,1.1,0,0,0,21
2018-07-03,62.72,37.28,4.8,0.95,0,0,43
2018-06-26,39.25,60.75,9.06,1.85,0,0,72
2018-06-19,39.25,60.75,9.06,1.85,0,0,72
2018-06-12,18.15,81.85,47.79,7.47,0,0,137
2018-06-05,19.18,80.82,52.77,11.49,0,0,145
2018-05-29,19.31,80.69,53.3,13.95,0,0,148
2018-05-22,19.36,80.64,47.39,6.7,0,0,135
2018-05-15,10.2,89.8,46.17,5.5,0,0,141
2018-05-08,10.94,89.06,39.01,3.46,0,0,132
2018-05-01,24.04,75.96,39.01,3.46,0,0,118
2018-04-24,34.81,65.19,38.55,0,0,0,104
2018-04-17,34.81,65.19,38.55,0,0,0,104
2018-04-10,17.2,82.8,42.03,4.67,0,0,129
2018-04-03,17.2,82.8,42.03,4.67,0,0,129
2018-03-27,9.21,90.79,49.24,4.09,0,0,144
2018-03-20,9.21,90.79,49.29,8.71,0,0,149
2018-03-13,3.08,96.92,61.87,8.71,0,0,167
2018-03-06,3.08,96.92,61.94,4.41,0,0,163
2018-02-27,3.08,96.92,64.73,4.41,0,0,166
2018-02-20,3.08,96.92,64.73,4.41,0,0,166
2018-02-13,3.08,96.92,64.73,4.41,0,0,166
2018-02-06,3.09,96.91,62.91,4.41,0,0,164
2018-01-30,3.16,96.84,60.98,4.41,0,0,162
2018-01-23,3.16,96.84,58.24,4.41,0,0,159
2018-01-16,7.74,92.26,58.24,4.41,0,0,155
2018-01-09,7.74,92.26,58.24,4.41,0,0,155
2018-01-02,7.74,92.26,60.57,4.47,0,0,157
2017-12-26,7.74,92.26,60.57,4.47,0,0,157
2017-12-19,7.74,92.26,60.57,4.47,0,0,157
2017-12-12,7.74,92.26,60.57,4.47,0,0,157
2017-12-05,7.74,92.26,60.57,4.47,0,0,157
2017-11-28,18.3,81.7,48.08,4.47,0,0,134
2017-11-21,18.3,81.7,36.83,3.15,0,0,122
2017-11-14,18.3,81.7,36.83,3.15,0,0,122
2017-11-07,18.3,81.7,36.83,3.15,0,0,122
2017-10-31,18.3,81.7,36.83,3.15,0,0,122
2017-10-24,19.7,80.3,36.83,3.15,0,0,120
2017-10-17,28.11,71.89,36.39,2.86,0,0,111
2017-10-10,28.02,71.98,59.79,18.9,1.81,0,153
2017-10-03,28.02,71.98,59.79,18.9,1.81,0,153
2017-09-26,11.07,88.93,62.85,23.49,3.36,0.41,179
2017-09-19,0.13,99.87,87.35,32.87,3.46,0.41,224
2017-09-12,1.97,98.03,92.98,49.03,18.89,0.39,259
2017-09-05,0.41,99.59,65.83,49.22,20.53,0.39,236
2017-08-29,0.41,99.59,65.84,51.33,22.08,0.39,239
2017-08-22,0.41,99.59,62.79,53.42,22.08,0.39,238
2017-08-15,0.41,99.59,81.99,62.9,43.84,5.1,293
2017-08-08,0.29,99.71,81.79,62.58,43.39,7.62,295
2017-08-01,3.09,96.91,81.74,62.45,44.09,7.62,293
2017-07-25,6.61,93.39,79.21,61.16,45.56,7.62,287
2017-07-18,6.32,93.68,74.31,57.35,40.33,6.35,272
2017-07-11,6.32,93.68,72.81,54.98,35.85,0,257
2017-07-04,6.32,93.68,66.77,46.99,29.29,0,237
2017-06-27,0.02,99.98,66.77,46.9,25.06,0,239
2017-06-20,0.02,99.98,67.34,39.9,7.73,0,215
2017-06-13,0,100,83.4,27,0,0,210
2017-06-06,0,100,87.46,13.54,0,0,201
2017-05-30,0.1,99.9,24.11,0,0,0,124
2017-05-23,56.39,43.61,6.35,0,0,0,50
2017-05-16,63.79,36.21,0,0,0,0,36
2017-05-09,69.7,30.3,0,0,0,0,30
2017-05-02,91.22,8.78,0,0,0,0,9
2017-04-25,91.22,8.78,0,0,0,0,9
2017-04-18,91.22,8.78,0,0,0,0,9
2017-04-11,91.22,8.78,0,0,0,0,9
2017-04-04,93.83,6.17,0,0,0,0,6
2017-03-28,93.83,6.17,0,0,0,0,6
2017-03-21,93.83,6.17,0,0,0,0,6
2017-03-14,93.83,6.17,0,0,0,0,6
2017-03-07,93.83,6.17,0,0,0,0,6
2017-02-28,93.83,6.17,0,0,0,0,6
2017-02-21,93.81,6.19,0,0,0,0,6
2017-02-14,93.81,6.19,0,0,0,0,6
2017-02-07,93.81,6.19,0,0,0,0,6
2017-01-31,93.81,6.19,0,0,0,0,6
2017-01-24,93.81,6.19,0,0,0,0,6
2017-01-17,93.87,6.13,0,0,0,0,6
2017-01-10,93.87,6.13,0,0,0,0,6
2017-01-03,93.87,6.13,0,0,0,0,6
2016-12-27,93.87,6.13,0,0,0,0,6
2016-12-20,87.75,12.25,1.38,0,0,0,14
2016-12-13,89.76,10.24,1.38,0,0,0,12
2016-12-06,70.65,29.35,1.38,0,0,0,31
2016-11-29,73.4,26.6,2.79,0,0,0,29
2016-11-22,73.4,26.6,2.79,0,0,0,29
2016-11-15,93.77,6.23,0,0,0,0,6
2016-11-08,93.77,6.23,0,0,0,0,6
2016-11-01,98.95,1.05,0,0,0,0,1
2016-10-25,98.88,1.12,0,0,0,0,1
2016-10-18,98.94,1.06,0,0,0,0,1
2016-10-11,98.94,1.06,0,0,0,0,1
2016-10-04,98.94,1.06,0,0,0,0,1
2016-09-27,96.7,3.3,0.41,0,0,0,4
2016-09-20,92.29,7.71,1.37,0,0,0,9
2016-09-13,92.77,7.23,1.1,0,0,0,8
2016-09-06,89.26,10.74,1.79,0.29,0,0,13
2016-08-30,89.26,10.74,1.79,0.29,0,0,13
2016-08-23,91.83,8.17,2.65,1.2,0,0,12
2016-08-16,90.43,9.57,2.65,1.2,0,0,13
2016-08-09,88.15,11.85,2.98,1.2,0,0,16
2016-08-02,90.05,9.95,2.98,1.2,0,0,14
2016-07-26,90.05,9.95,2.98,1.2,0,0,14
2016-07-19,84.86,15.14,3.67,1.05,0,0,20
2016-07-12,87.73,12.27,1.97,0,0,0,14
2016-07-05,80.53,19.47,4.94,0.48,0,0,25
2016-06-28,82.42,17.58,3.61,0.19,0,0,21
2016-06-21,86.95,13.05,0.34,0,0,0,13
2016-06-14,81.05,18.95,0.34,0,0,0,19
2016-06-07,86.11,13.89,0.34,0,0,0,14
2016-05-31,87.24,12.76,0,0,0,0,13
2016-05-24,78.88,21.12,0,0,0,0,21
2016-05-17,79.4,20.6,0,0,0,0,21
2016-05-10,79.46,20.54,0,0,0,0,21
2016-05-03,72.34,27.66,0,0,0,0,28
2016-04-26,72.34,27.66,0,0,0,0,28
2016-04-19,28.48,71.52,15.14,0,0,0,87
2016-04-12,9.55,90.45,30.27,0,0,0,121
2016-04-05,10.3,89.7,25.5,0,0,0,115
2016-03-29,7.97,92.03,10.59,0,0,0,103
2016-03-22,7.97,92.03,10.59,0,0,0,103
2016-03-15,10.4,89.6,10.59,0,0,0,100
2016-03-08,15.87,84.13,2.76,0,0,0,87
2016-03-01,28.37,71.63,3.95,0,0,0,76
2016-02-23,40.65,59.35,3.87,0,0,0,63
2016-02-16,40.65,59.35,3.87,0,0,0,63
2016-02-09,44.67,55.33,3.87,0,0,0,59
2016-02-02,44.67,55.33,3.87,0,0,0,59
2016-01-26,74.65,25.35,3.87,0,0,0,29
2016-01-19,74.65,25.35,3.87,0,0,0,29
2016-01-12,61.32,38.68,5.47,0,0,0,44
2016-01-05,61.32,38.68,5.47,0,0,0,44
2015-12-29,61.32,38.68,5.47,0,0,0,44
2015-12-22,61.32,38.68,5.47,0,0,0,44
2015-12-15,57.11,42.89,6.51,0,0,0,49
2015-12-08,57.11,42.89,9.27,0,0,0,52
2015-12-01,57.11,42.89,9.27,0,0,0,52
2015-11-24,57.11,42.89,9.27,0,0,0,52
2015-11-17,63.12,36.88,9.99,0,0,0,47
2015-11-10,63.12,36.88,9.99,0,0,0,47
2015-11-03,63.12,36.88,9.99,0,0,0,47
2015-10-27,63.12,36.88,9.99,0,0,0,47
2015-10-20,63.12,36.88,13.87,0,0,0,51
2015-10-13,68.78,31.22,0,0,0,0,31
2015-10-06,74.6,25.4,0,0,0,0,25
2015-09-29,79.57,20.43,0,0,0,0,20
2015-09-22,84.39,15.61,0,0,0,0,16
2015-09-15,94.77,5.23,0,0,0,0,5
2015-09-08,92.35,7.65,0,0,0,0,8
2015-09-01,92.35,7.65,0,0,0,0,8
2015-08-25,92.35,7.65,0,0,0,0,8
2015-08-18,92.37,7.63,0,0,0,0,8
2015-08-11,92.37,7.63,0,0,0,0,8
2015-08-04,86.83,13.17,0,0,0,0,13
2015-07-28,86.83,13.17,0,0,0,0,13
2015-07-21,86.83,13.17,0,0,0,0,13
2015-07-14,89.26,10.74,0,0,0,0,11
2015-07-07,90.86,9.14,0,0,0,0,9
2015-06-30,90.98,9.02,0,0,0,0,9
2015-06-23,90.98,9.02,0,0,0,0,9
2015-06-16,90.98,9.02,0,0,0,0,9
2015-06-09,90.98,9.02,0,0,0,0,9
2015-06-02,80,20,0,0,0,0,20
2015-05-26,78.42,21.58,0,0,0,0,22
2015-05-19,73.42,26.58,0,0,0,0,27
2015-05-12,24.65,75.35,6.66,0,0,0,82
2015-05-05,18.76,81.24,27.42,2.33,0,0,111
2015-04-28,18.76,81.24,27.42,0,0,0,109
2015-04-21,18.93,81.07,21.17,0,0,0,102
2015-04-14,18.93,81.07,21.14,0,0,0,102
2015-04-07,5.18,94.82,21.14,0,0,0,116
2015-03-31,5.18,94.82,21.14,0,0,0,116
2015-03-24,5.18,94.82,21.14,0,0,0,116
2015-03-17,24.75,75.25,21.14,0,0,0,96
2015-03-10,31.65,68.35,9.53,0,0,0,78
2015-03-03,31.65,68.35,9.53,0,0,0,78
2015-02-24,31.65,68.35,9.53,0,0,0,78
2015-02-17,31.65,68.35,9.53,0,0,0,78
2015-02-10,31.65,68.35,9.53,0,0,0,78
2015-02-03,31.93,68.07,9.53,0,0,0,78
2015-01-27,31.93,68.07,9.53,0,0,0,78
2015-01-20,31.93,68.07,1.48,0,0,0,70
2015-01-13,31.93,68.07,1.48,0,0,0,70
2015-01-06,31.93,68.07,1.48,0,0,0,70
2014-12-30,31.93,68.07,1.48,0,0,0,70
2014-12-23,31.93,68.07,1.48,0,0,0,70
2014-12-16,43.92,56.08,1.48,0,0,0,58
2014-12-09,43.92,56.08,1.48,0,0,0,58
2014-12-02,43.92,56.08,1.48,0,0,0,58
2014-11-25,47.29,52.71,1.43,0,0,0,54
2014-11-18,85.81,14.19,1.43,0,0,0,16
2014-11-11,85.81,14.19,1.43,0,0,0,16
2014-11-04,85.85,14.15,1.43,0,0,0,16
2014-10-28,94.04,5.96,0,0,0,0,6
2014-10-21,94.07,5.93,0,0,0,0,6
2014-10-14,94.07,5.93,0,0,0,0,6
2014-10-07,99.19,0.81,0,0,0,0,1
2014-09-30,100,0,0,0,0,0,0
2014-09-23,100,0,0,0,0,0,0
2014-09-16,100,0,0,0,0,0,0
2014-09-09,100,0,0,0,0,0,0
2014-09-02,100,0,0,0,0,0,0
2014-08-26,100,0,0,0,0,0,0
2014-08-19,94.15,5.85,0,0,0,0,6
2014-08-12,99.06,0.94,0,0,0,0,1
2014-08-05,99.06,0.94,0,0,0,0,1
2014-07-29,99.06,0.94,0,0,0,0,1
2014-07-22,100,0,0,0,0,0,0
2014-07-15,100,0,0,0,0,0,0
2014-07-08,100,0,0,0,0,0,0
2014-07-01,100,0,0,0,0,0,0
2014-06-24,100,0,0,0,0,0,0
2014-06-17,100,0,0,0,0,0,0
2014-06-10,100,0,0,0,0,0,0
2014-06-03,100,0,0,0,0,0,0
2014-05-27,100,0,0,0,0,0,0
2014-05-20,100,0,0,0,0,0,0
2014-05-13,100,0,0,0,0,0,0
2014-05-06,100,0,0,0,0,0,0
2014-04-29,100,0,0,0,0,0,0
2014-04-22,100,0,0,0,0,0,0
2014-04-15,100,0,0,0,0,0,0
2014-04-08,100,0,0,0,0,0,0
2014-04-01,94.41,5.59,0,0,0,0,6
2014-03-25,94.41,5.59,0,0,0,0,6
2014-03-18,94.41,5.59,0,0,0,0,6
2014-03-11,94.41,5.59,0,0,0,0,6
2014-03-04,94.41,5.59,0,0,0,0,6
2014-02-25,94.41,5.59,0,0,0,0,6
2014-02-18,94.41,5.59,0,0,0,0,6
2014-02-11,94.41,5.59,0,0,0,0,6
2014-02-04,94.41,5.59,0,0,0,0,6
2014-01-28,94.41,5.59,0,0,0,0,6
2014-01-21,94.41,5.59,0,0,0,0,6
2014-01-14,94.41,5.59,0,0,0,0,6
2014-01-07,94.41,5.59,0,0,0,0,6
2013-12-31,94.41,5.59,0,0,0,0,6
2013-12-24,94.41,5.59,0,0,0,0,6
2013-12-17,94.41,5.59,0,0,0,0,6
2013-12-10,94.41,5.59,0,0,0,0,6
2013-12-03,92.01,7.99,0,0,0,0,8
2013-11-26,92.01,7.99,0,0,0,0,8
2013-11-19,92.01,7.99,0,0,0,0,8
2013-11-12,92.01,7.99,0,0,0,0,8
2013-11-05,92.01,7.99,0,0,0,0,8
2013-10-29,92.01,7.99,0,0,0,0,8
2013-10-22,85.63,14.37,0,0,0,0,14
2013-10-15,85.63,14.37,0,0,0,0,14
2013-10-08,70.12,29.88,2.22,0,0,0,32
2013-10-01,64.54,35.46,8.28,0,0,0,44
2013-09-24,60.55,39.45,17.34,0,0,0,57
2013-09-17,60.75,39.25,18.93,0,0,0,58
2013-09-10,54.03,45.97,27.36,3.8,0,0,77
2013-09-03,54.03,45.97,27.36,3.8,0,0,77
2013-08-27,44.35,55.65,30.53,3.8,0,0,90
2013-08-20,75.96,24.04,3.67,0,0,0,28
2013-08-13,76.18,23.82,3.67,0,0,0,27
2013-08-06,76.18,23.82,3.67,0,0,0,27
2013-07-30,83.45,16.55,0,0,0,0,17
2013-07-23,91.71,8.29,0,0,0,0,8
2013-07-16,99.68,0.32,0,0,0,0,0
2013-07-09,99.68,0.32,0,0,0,0,0
2013-07-02,99.68,0.32,0,0,0,0,0
2013-06-25,99.68,0.32,0,0,0,0,0
2013-06-18,90.28,9.72,0,0,0,0,10
2013-06-11,90.28,9.72,0,0,0,0,10
2013-06-04,86.26,13.74,0,0,0,0,14
2013-05-28,83.13,16.87,0.01,0,0,0,17
2013-05-21,71.11,28.89,2.66,0,0,0,32
2013-05-14,51.21,48.79,18.67,1.76,0,0,69
2013-05-07,54.02,45.98,18.67,1.76,0,0,66
2013-04-30,54.02,45.98,18.67,1.76,0,0,66
2013-04-23,50.96,49.04,25.1,1.84,0,0,76
2013-04-16,51.11,48.89,25.02,1.73,0,0,76
2013-04-09,35.71,64.29,48.93,24.92,0,0,138
2013-04-02,35.71,64.29,49,25.23,0.72,0,139
2013-03-26,33.49,66.51,46.55,24.73,0,0,138
2013-03-19,33.49,66.51,46.26,24.4,0,0,137
2013-03-12,33.49,66.51,46.26,24.4,0,0,137
2013-03-05,33.52,66.48,46.24,23.85,0,0,137
2013-02-26,33.59,66.41,46.55,23.85,0,0,137
2013-02-19,36.13,63.87,46.6,23.85,0,0,134
2013-02-12,36.13,63.87,46.6,23.85,0,0,134
2013-02-05,34.53,65.47,48.33,30.55,0,0,144
2013-01-29,34.53,65.47,48.33,30.55,0,0,144
2013-01-22,34.53,65.47,48.33,30.55,0,0,144
2013-01-15,34.53,65.47,48.33,30.55,0,0,144
2013-01-08,34.46,65.54,48.33,30.51,0,0,144
2013-01-01,11.09,88.91,54.98,30.51,0,0,174
2012-12-25,11.09,88.91,54.98,30.51,0,0,174
2012-12-18,11.09,88.91,54.98,30.51,0,0,174
2012-12-11,11.09,88.91,54.98,30.5,0,0,174
2012-12-04,8.66,91.34,55.53,32.64,0,0,180
2012-11-27,8.66,91.34,57.62,32.64,0,0,182
2012-11-20,8.66,91.34,59.02,29.51,0,0,180
2012-11-13,8.66,91.34,59.02,29.51,0,0,180
2012-11-06,0.21,99.79,77.61,30.45,0,0,208
2012-10-30,0,100,90.1,29.57,0,0,220
2012-10-23,0,100,95.35,36.71,0,0,232
2012-10-16,0,100,100,50.36,4.78,0,255
2012-10-09,0,100,100,50.42,4.78,0,255
2012-10-02,0,100,100,51,4.78,0,256
2012-09-25,0,100,94.9,28.49,4.78,0,228
2012-09-18,0,100,87.57,28.34,0,0,216
2012-09-11,0,100,80.41,28.34,0,0,209
2012-09-04,6.8,93.2,57.65,20.25,0,0,171
2012-08-28,8.98,91.02,39.36,17.3,0,0,148
2012-08-21,27.45,72.55,35.73,16.04,0,0,124
2012-08-14,28.65,71.35,35.66,16.28,0,0,123
2012-08-07,13.23,86.77,38.2,16.28,0,0,141
2012-07-31,13.23,86.77,38.2,16.28,0,0,141
2012-07-24,12.95,87.05,30.46,16.22,0,0,134
2012-07-17,21.57,78.43,26.07,16,0,0,120
2012-07-10,40.44,59.56,26.38,5.18,0,0,91
2012-07-03,49.28,50.72,18.69,0,0,0,69
2012-06-26,63.8,36.2,10.17,0,0,0,46
2012-06-19,67.25,32.75,10.17,0,0,0,43
2012-06-12,68.54,31.46,10.81,0,0,0,42
2012-06-05,63.09,36.91,14.75,0,0,0,52
2012-05-29,65.75,34.25,14.75,0,0,0,49
2012-05-22,62.01,37.99,17.36,0,0,0,55
2012-05-15,64.78,35.22,8.68,0,0,0,44
2012-05-08,67.98,32.02,8.68,0,0,0,41
2012-05-01,49.34,50.66,14.15,0,0,0,65
2012-04-24,25.84,74.16,22.6,0,0,0,97
2012-04-17,25.79,74.21,21.94,0,0,0,96
2012-04-10,17.66,82.34,15.79,0,0,0,98
2012-04-03,17.66,82.34,17.94,0,0,0,100
2012-03-27,11.21,88.79,7.61,0,0,0,96
2012-03-20,1.81,98.19,7.84,0,0,0,106
2012-03-13,1.81,98.19,7.84,0,0,0,106
2012-03-06,0.01,99.99,8.28,0,0,0,108
2012-02-28,0.01,99.99,9.32,0,0,0,109
2012-02-21,0.01,99.99,14.86,0,0,0,115
2012-02-14,0.38,99.62,14.86,0,0,0,114
2012-02-07,0.38,99.62,14.86,0,0,0,114
2012-01-31,0.38,99.62,14.86,0,0,0,114
2012-01-24,0.38,99.62,11.88,0,0,0,112
2012-01-17,0.38,99.62,8.67,0,0,0,108
2012-01-10,0.38,99.62,8.67,0,0,0,108
2012-01-03,0.38,99.62,8.67,0,0,0,108
2011-12-27,25.96,74.04,8.67,0,0,0,83
2011-12-20,26.35,73.65,8.67,0,0,0,82
2011-12-13,57.01,42.99,3.78,0,0,0,47
2011-12-06,57.01,42.99,3.78,0,0,0,47
2011-11-29,57.01,42.99,3.47,0,0,0,46
2011-11-22,72.88,27.12,0,0,0,0,27
2011-11-15,72.88,27.12,0,0,0,0,27
2011-11-08,72.88,27.12,0,0,0,0,27
2011-11-01,72.88,27.12,0,0,0,0,27
2011-10-25,86.9,13.1,0,0,0,0,13
2011-10-18,87.52,12.48,0,0,0,0,12
2011-10-11,91.39,8.61,0,0,0,0,9
2011-10-04,91.4,8.6,0,0,0,0,9
2011-09-27,100,0,0,0,0,0,0
2011-09-20,100,0,0,0,0,0,0
2011-09-13,100,0,0,0,0,0,0
2011-09-06,100,0,0,0,0,0,0
2011-08-30,100,0,0,0,0,0,0
2011-08-23,100,0,0,0,0,0,0
2011-08-16,100,0,0,0,0,0,0
2011-08-09,100,0,0,0,0,0,0
2011-08-02,100,0,0,0,0,0,0
2011-07-26,100,0,0,0,0,0,0
2011-07-19,100,0,0,0,0,0,0
2011-07-12,100,0,0,0,0,0,0
2011-07-05,100,0,0,0,0,0,0
2011-06-28,100,0,0,0,0,0,0
2011-06-21,100,0,0,0,0,0,0
2011-06-14,100,0,0,0,0,0,0
2011-06-07,100,0,0,0,0,0,0
2011-05-31,100,0,0,0,0,0,0
2011-05-24,100,0,0,0,0,0,0
2011-05-17,100,0,0,0,0,0,0
2011-05-10,100,0,0,0,0,0,0
2011-05-03,100,0,0,0,0,0,0
2011-04-26,100,0,0,0,0,0,0
2011-04-19,100,0,0,0,0,0,0
2011-04-12,100,0,0,0,0,0,0
2011-04-05,100,0,0,0,0,0,0
2011-03-29,100,0,0,0,0,0,0
2011-03-22,100,0,0,0,0,0,0
2011-03-15,100,0,0,0,0,0,0
2011-03-08,100,0,0,0,0,0,0
2011-03-01,100,0,0,0,0,0,0
2011-02-22,100,0,0,0,0,0,0
2011-02-15,100,0,0,0,0,0,0
2011-02-08,100,0,0,0,0,0,0
2011-02-01,100,0,0,0,0,0,0
2011-01-25,100,0,0,0,0,0,0
2011-01-18,100,0,0,0,0,0,0
2011-01-11,100,0,0,0,0,0,0
2011-01-04,100,0,0,0,0,0,0
2010-12-28,100,0,0,0,0,0,0
2010-12-21,100,0,0,0,0,0,0
2010-12-14,100,0,0,0,0,0,0
2010-12-07,100,0,0,0,0,0,0
2010-11-30,100,0,0,0,0,0,0
2010-11-23,100,0,0,0,0,0,0
2010-11-16,100,0,0,0,0,0,0
2010-11-09,100,0,0,0,0,0,0
2010-11-02,100,0,0,0,0,0,0
2010-10-26,100,0,0,0,0,0,0
2010-10-19,100,0,0,0,0,0,0
2010-10-12,100,0,0,0,0,0,0
2010-10-05,100,0,0,0,0,0,0
2010-09-28,100,0,0,0,0,0,0
2010-09-21,99.83,0.17,0,0,0,0,0
2010-09-14,92.3,7.7,0,0,0,0,8
2010-09-07,88.41,11.59,0,0,0,0,12
2010-08-31,76.65,23.35,0,0,0,0,23
2010-08-24,99.66,0.34,0,0,0,0,0
